node,type
G_64170,gene
G_51256,gene
G_28981,gene
G_8216,gene
G_6505,gene
G_5949,gene
G_583,gene
G_4750,gene
G_51569,gene
G_392255,gene
G_79827,gene
G_134701,gene
G_55240,gene
G_3910,gene
G_63924,gene
G_6890,gene
G_7068,gene
G_51099,gene
G_2731,gene
G_149775,gene
G_2778,gene
G_8675,gene
G_54714,gene
G_2073,gene
G_396,gene
G_201163,gene
G_283489,gene
G_84665,gene
G_166378,gene
G_4790,gene
G_84197,gene
G_81846,gene
G_54795,gene
G_1369,gene
G_3190,gene
G_5832,gene
G_657,gene
G_4089,gene
G_1280,gene
G_54567,gene
G_2261,gene
G_7436,gene
G_200942,gene
G_4508,gene
G_5621,gene
G_7490,gene
G_5159,gene
G_81848,gene
G_388588,gene
G_2623,gene
G_1848,gene
G_54756,gene
G_51761,gene
G_51702,gene
G_4247,gene
G_5373,gene
G_5337,gene
G_54345,gene
G_5317,gene
G_167691,gene
G_2072,gene
G_55768,gene
G_8822,gene
G_23767,gene
G_3982,gene
G_4284,gene
G_3845,gene
G_5604,gene
G_55687,gene
G_79719,gene
G_1311,gene
G_5605,gene
G_6305,gene
G_682,gene
G_1615,gene
G_3800,gene
G_11041,gene
G_11311,gene
G_113179,gene
G_6901,gene
G_29958,gene
G_57609,gene
G_6654,gene
G_1491,gene
G_23299,gene
G_1436,gene
G_92749,gene
G_4854,gene
G_8200,gene
G_2694,gene
G_285203,gene
G_859,gene
G_1756,gene
G_54101,gene
G_58495,gene
G_7273,gene
G_4893,gene
G_3265,gene
G_5290,gene
G_64132,gene
G_658,gene
G_650,gene
G_10020,gene
G_6448,gene
G_10564,gene
G_5396,gene
G_1798,gene
G_51259,gene
G_56623,gene
G_4023,gene
G_959,gene
G_1950,gene
G_6442,gene
G_56945,gene
G_10165,gene
G_1294,gene
G_5660,gene
G_3662,gene
G_4437,gene
G_2956,gene
G_999,gene
G_27030,gene
G_154881,gene
G_4068,gene
G_331,gene
G_2312,gene
G_7480,gene
G_1145,gene
G_2334,gene
G_24140,gene
G_6928,gene
G_3054,gene
G_4625,gene
G_4647,gene
G_10083,gene
G_79955,gene
G_7399,gene
G_6331,gene
G_7401,gene
G_27316,gene
G_208,gene
G_434,gene
G_2065,gene
G_7291,gene
G_4210,gene
G_9294,gene
G_3914,gene
G_1308,gene
G_1278,gene
G_4609,gene
G_8842,gene
G_9968,gene
G_3588,gene
G_3459,gene
G_3455,gene
G_80184,gene
G_1413,gene
G_57010,gene
G_162417,gene
G_128178,gene
G_10913,gene
G_2993,gene
G_51360,gene
G_2324,gene
G_91662,gene
G_23096,gene
G_2799,gene
G_10084,gene
G_5339,gene
G_2521,gene
G_348,gene
G_54187,gene
G_1282,gene
G_284058,gene
G_2779,gene
G_6010,gene
G_6556,gene
G_60506,gene
G_138050,gene
G_23171,gene
G_11277,gene
G_1855,gene
G_7474,gene
G_5903,gene
G_2034,gene
G_337,gene
G_54809,gene
G_170302,gene
G_27445,gene
G_1373,gene
G_59,gene
G_4669,gene
G_60678,gene
G_7818,gene
G_144577,gene
G_3852,gene
G_168667,gene
G_773,gene
G_2643,gene
G_26128,gene
G_80308,gene
G_5961,gene
G_6094,gene
G_55811,gene
G_126792,gene
G_5376,gene
G_4359,gene
G_478,gene
G_9401,gene
G_727897,gene
G_729238,gene
G_6440,gene
G_7015,gene
G_7012,gene
G_89910,gene
G_6311,gene
G_1135,gene
G_169522,gene
G_547,gene
G_1286,gene
G_5133,gene
G_23020,gene
G_84690,gene
G_771,gene
G_11155,gene
G_25778,gene
G_7780,gene
G_64324,gene
G_6521,gene
G_10842,gene
G_2053,gene
G_336,gene
