gene_id,disease_id
64170,OMIM:212050
51256,OMIM:248000
28981,OMIM:617895
8216,OMIM:616564
6505,OMIM:615232
5949,OMIM:615233
583,OMIM:616562
4750,OMIM:617892
51569,OMIM:617899
392255,OMIM:617898
79827,OMIM:615237
134701,OMIM:616566
55240,OMIM:615234
3910,OMIM:615235
63924,OMIM:615238
6890,OMIM:604571
7068,OMIM:274300
51099,OMIM:275630
2731,OMIM:605899
149775,OMIM:603233
2778,OMIM:603233
8675,OMIM:603233
54714,OMIM:262300
2073,OMIM:616570
396,OMIM:615244
201163,OMIM:173600
283489,OMIM:616579
84665,OMIM:615248
166378,OMIM:616577
4790,OMIM:616576
84197,OMIM:615249
81846,OMIM:604563
54795,OMIM:604559
1369,OMIM:212070
3190,OMIM:616580
5832,OMIM:616586
657,OMIM:174900
4089,OMIM:174900
1280,OMIM:616583
54567,OMIM:616589
2261,OMIM:146000
7436,OMIM:224050
200942,OMIM:236000
4508,OMIM:551500
5621,OMIM:603218
7490,OMIM:136680
5159,OMIM:616592
81848,OMIM:615266
388588,OMIM:615264
2623,OMIM:314050
1848,OMIM:615269
54756,OMIM:615267
51761,OMIM:615268
51702,OMIM:191480
4247,OMIM:212066
5373,OMIM:212065
5337,OMIM:212093
54345,OMIM:137940
5317,OMIM:604536
167691,OMIM:604537
2072,OMIM:615272
55768,OMIM:615273
8822,OMIM:615270
23767,OMIM:615271
3982,OMIM:615277
4284,OMIM:615274
3845,OMIM:615278
5604,OMIM:615279
55687,OMIM:580000
79719,OMIM:148600
1311,OMIM:177170
5605,OMIM:615280
6305,OMIM:615284
682,OMIM:111380
1615,OMIM:615281
3800,OMIM:615282
11041,OMIM:615287
11311,OMIM:615285
113179,OMIM:615286
6901,OMIM:302060
29958,OMIM:605850
57609,OMIM:136630
6654,OMIM:135300
1491,OMIM:219500
23299,OMIM:615290
1436,OMIM:221820
92749,OMIM:615294
4854,OMIM:615293
8200,OMIM:615298
2694,OMIM:261000
285203,OMIM:615297
859,OMIM:123320
1756,OMIM:302045
54101,OMIM:263650
58495,OMIM:122000
7273,OMIM:611705
4893,OMIM:162900
3265,OMIM:162900
5290,OMIM:162900
2261,OMIM:162900
64132,OMIM:605822
658,OMIM:112600
650,OMIM:112600
8200,OMIM:112600
10020,OMIM:605820
6448,OMIM:252900
10564,OMIM:608097
5396,OMIM:202650
1798,OMIM:608093
51259,OMIM:608091
56623,OMIM:213300
4023,OMIM:238600
959,OMIM:308230
1950,OMIM:611718
6442,OMIM:608099
56945,OMIM:611719
10165,OMIM:605814
1294,OMIM:226600
5660,OMIM:611721
5660,OMIM:611722
3662,OMIM:611724
4437,OMIM:608089
2956,OMIM:608089
999,OMIM:608089
27030,OMIM:608089
154881,OMIM:611726
4068,OMIM:308240
331,OMIM:308240
2312,OMIM:605803
7480,OMIM:225300
1145,OMIM:605809
2334,OMIM:309548
24140,OMIM:309549
6928,OMIM:137920
3054,OMIM:309541
4625,OMIM:255160
4647,OMIM:276900
10083,OMIM:276900
79955,OMIM:276901
7399,OMIM:276901
6331,OMIM:113900
7401,OMIM:276902
10083,OMIM:276904
27316,OMIM:309555
208,OMIM:240900
434,OMIM:611742
2065,OMIM:243180
7291,OMIM:180750
4210,OMIM:608068
9294,OMIM:610419
3914,OMIM:226650
1308,OMIM:226650
1278,OMIM:225320
4609,OMIM:113970
8842,OMIM:608051
9968,OMIM:309520
3588,OMIM:610424
3459,OMIM:610424
3455,OMIM:610424
80184,OMIM:611755
1413,OMIM:610425
57010,OMIM:610427
162417,OMIM:237310
128178,OMIM:129490
10913,OMIM:129490
2993,OMIM:111300
51360,OMIM:308205
2324,OMIM:153100
91662,OMIM:611762
23096,OMIM:309530
2799,OMIM:252940
10084,OMIM:309500
5339,OMIM:226670
2521,OMIM:608030
348,OMIM:611771
54187,OMIM:610442
1282,OMIM:611773
284058,OMIM:610443
2779,OMIM:610444
6010,OMIM:610445
6556,OMIM:610446
60506,OMIM:310500
138050,OMIM:252930
23171,OMIM:611777
11277,OMIM:610448
1855,OMIM:180700
7474,OMIM:180700
5903,OMIM:608033
2034,OMIM:611783
337,OMIM:621106
54809,OMIM:610455
170302,OMIM:309510
27445,OMIM:608027
1373,OMIM:237300
59,OMIM:611788
4669,OMIM:252920
60678,OMIM:621102
7818,OMIM:621101
144577,OMIM:621100
3852,OMIM:609352
168667,OMIM:608022
773,OMIM:183086
2643,OMIM:128230
26128,OMIM:609460
80308,OMIM:255100
5961,OMIM:608133
6094,OMIM:608133
55811,OMIM:143870
126792,OMIM:609465
5376,OMIM:180800
