gene_id,gene_symbol,disease_id,association_type
64170,CARD9,OMIM:212050,MENDELIAN
51256,TBC1D7,OMIM:248000,MENDELIAN
28981,IFT81,OMIM:617895,MENDELIAN
8216,LZTR1,OMIM:616564,MENDELIAN
6505,SLC1A1,OMIM:615232,POLYGENIC
5949,RBP3,OMIM:615233,MENDELIAN
583,BBS2,OMIM:616562,MENDELIAN
4750,NEK1,OMIM:617892,POLYGENIC
51569,UFM1,OMIM:617899,MENDELIAN
392255,GDF6,OMIM:617898,MENDELIAN
79827,CLMP,OMIM:615237,MENDELIAN
134701,RIPPLY2,OMIM:616566,MENDELIAN
55240,STEAP3,OMIM:615234,MENDELIAN
3910,LAMA4,OMIM:615235,MENDELIAN
63924,CIDEC,OMIM:615238,MENDELIAN
6890,TAP1,OMIM:604571,MENDELIAN
7068,THRB,OMIM:274300,MENDELIAN
51099,ABHD5,OMIM:275630,MENDELIAN
2731,GLDC,OMIM:605899,MENDELIAN
149775,GNAS-AS1,OMIM:603233,MENDELIAN
2778,GNAS,OMIM:603233,MENDELIAN
8675,STX16,OMIM:603233,MENDELIAN
54714,CNGB3,OMIM:262300,MENDELIAN
2073,ERCC5,OMIM:616570,MENDELIAN
396,ARHGDIA,OMIM:615244,MENDELIAN
201163,FLCN,OMIM:173600,MENDELIAN
283489,CHAMP1,OMIM:616579,MENDELIAN
84665,MYPN,OMIM:615248,MENDELIAN
166378,AFG2A,OMIM:616577,MENDELIAN
4790,NFKB1,OMIM:616576,MENDELIAN
84197,POMK,OMIM:615249,MENDELIAN
81846,SBF2,OMIM:604563,MENDELIAN
54795,TRPM4,OMIM:604559,MENDELIAN
1369,CPN1,OMIM:212070,MENDELIAN
3190,HNRNPK,OMIM:616580,MENDELIAN
5832,ALDH18A1,OMIM:616586,MENDELIAN
657,BMPR1A,OMIM:174900,MENDELIAN
4089,SMAD4,OMIM:174900,MENDELIAN
1280,COL2A1,OMIM:616583,MENDELIAN
54567,DLL4,OMIM:616589,MENDELIAN
2261,FGFR3,OMIM:146000,MENDELIAN
7436,VLDLR,OMIM:224050,MENDELIAN
200942,KLHDC8B,OMIM:236000,POLYGENIC
4508,MT-ATP6,OMIM:551500,MENDELIAN
5621,PRNP,OMIM:603218,MENDELIAN
7490,WT1,OMIM:136680,MENDELIAN
5159,PDGFRB,OMIM:616592,MENDELIAN
81848,SPRY4,OMIM:615266,MENDELIAN
388588,SMIM1,OMIM:615264,MENDELIAN
2623,GATA1,OMIM:314050,MENDELIAN
1848,DUSP6,OMIM:615269,MENDELIAN
54756,IL17RD,OMIM:615267,MENDELIAN
51761,ATP8A2,OMIM:615268,MENDELIAN
51702,PADI3,OMIM:191480,MENDELIAN
4247,MGAT2,OMIM:212066,MENDELIAN
5373,PMM2,OMIM:212065,MENDELIAN
5337,PLD1,OMIM:212093,MENDELIAN
54345,SOX18,OMIM:137940,MENDELIAN
5317,PKP1,OMIM:604536,MENDELIAN
167691,LCA5,OMIM:604537,MENDELIAN
2072,ERCC4,OMIM:615272,MENDELIAN
55768,NGLY1,OMIM:615273,MENDELIAN
8822,FGF17,OMIM:615270,MENDELIAN
23767,FLRT3,OMIM:615271,MENDELIAN
3982,LIM2,OMIM:615277,MENDELIAN
4284,MIP,OMIM:615274,MENDELIAN
3845,KRAS,OMIM:615278,MENDELIAN
5604,MAP2K1,OMIM:615279,MENDELIAN
55687,TRMU,OMIM:580000,MENDELIAN
79719,AAGAB,OMIM:148600,MENDELIAN
1311,COMP,OMIM:177170,MENDELIAN
5605,MAP2K2,OMIM:615280,MENDELIAN
6305,SBF1,OMIM:615284,MENDELIAN
682,BSG,OMIM:111380,MENDELIAN
1615,DARS1,OMIM:615281,MENDELIAN
3800,KIF5C,OMIM:615282,MENDELIAN
11041,B4GAT1,OMIM:615287,MENDELIAN
11311,VPS45,OMIM:615285,MENDELIAN
113179,ADAT3,OMIM:615286,MENDELIAN
6901,TAFAZZIN,OMIM:302060,MENDELIAN
29958,DMGDH,OMIM:605850,MENDELIAN
57609,DIP2B,OMIM:136630,MENDELIAN
6654,SOS1,OMIM:135300,MENDELIAN
1491,CTH,OMIM:219500,MENDELIAN
23299,BICD2,OMIM:615290,MENDELIAN
1436,CSF1R,OMIM:221820,MENDELIAN
92749,DRC1,OMIM:615294,MENDELIAN
4854,NOTCH3,OMIM:615293,MENDELIAN
8200,GDF5,OMIM:615298,MENDELIAN
2694,CBLIF,OMIM:261000,MENDELIAN
285203,EOGT,OMIM:615297,MENDELIAN
859,CAV3,OMIM:123320,MENDELIAN
1756,DMD,OMIM:302045,MENDELIAN
54101,RIPK4,OMIM:263650,MENDELIAN
58495,OVOL2,OMIM:122000,MENDELIAN
7273,TTN,OMIM:611705,MENDELIAN
4893,NRAS,OMIM:162900,MENDELIAN
3265,HRAS,OMIM:162900,MENDELIAN
5290,PIK3CA,OMIM:162900,MENDELIAN
2261,FGFR3,OMIM:162900,MENDELIAN
64132,XYLT2,OMIM:605822,MENDELIAN
658,BMPR1B,OMIM:112600,MENDELIAN
650,BMP2,OMIM:112600,MENDELIAN
8200,GDF5,OMIM:112600,MENDELIAN
10020,GNE,OMIM:605820,MENDELIAN
6448,SGSH,OMIM:252900,MENDELIAN
10564,ARFGEF2,OMIM:608097,MENDELIAN
5396,PRRX1,OMIM:202650,MENDELIAN
1798,DPAGT1,OMIM:608093,MENDELIAN
51259,TMEM216,OMIM:608091,MENDELIAN
56623,INPP5E,OMIM:213300,MENDELIAN
4023,LPL,OMIM:238600,MENDELIAN
959,CD40LG,OMIM:308230,MENDELIAN
1950,EGF,OMIM:611718,MENDELIAN
6442,SGCA,OMIM:608099,MENDELIAN
56945,MRPS22,OMIM:611719,MENDELIAN
10165,SLC25A13,OMIM:605814,MENDELIAN
1294,COL7A1,OMIM:226600,MENDELIAN
5660,PSAP,OMIM:611721,MENDELIAN
5660,PSAP,OMIM:611722,MENDELIAN
3662,IRF4,OMIM:611724,MENDELIAN
4437,MSH3,OMIM:608089,MENDELIAN
2956,MSH6,OMIM:608089,POLYGENIC
999,CDH1,OMIM:608089,MENDELIAN
27030,MLH3,OMIM:608089,POLYGENIC
154881,KCTD7,OMIM:611726,MENDELIAN
4068,SH2D1A,OMIM:308240,MENDELIAN
331,XIAP,OMIM:308240,MENDELIAN
2312,FLG,OMIM:605803,POLYGENIC
7480,WNT10B,OMIM:225300,MENDELIAN
1145,CHRNE,OMIM:605809,MENDELIAN
2334,AFF2,OMIM:309548,MENDELIAN
24140,FTSJ1,OMIM:309549,MENDELIAN
6928,HNF1B,OMIM:137920,MENDELIAN
3054,HCFC1,OMIM:309541,MENDELIAN
4625,MYH7,OMIM:255160,MENDELIAN
4647,MYO7A,OMIM:276900,MENDELIAN
10083,USH1C,OMIM:276900,MENDELIAN
79955,PDZD7,OMIM:276901,POLYGENIC
7399,USH2A,OMIM:276901,MENDELIAN
6331,SCN5A,OMIM:113900,MENDELIAN
7401,CLRN1,OMIM:276902,MENDELIAN
10083,USH1C,OMIM:276904,MENDELIAN
27316,RBMX,OMIM:309555,MENDELIAN
208,AKT2,OMIM:240900,MENDELIAN
434,ASIP,OMIM:611742,MENDELIAN
2065,ERBB3,OMIM:243180,MENDELIAN
7291,TWIST1,OMIM:180750,MENDELIAN
4210,MEFV,OMIM:608068,MENDELIAN
9294,S1PR2,OMIM:610419,MENDELIAN
3914,LAMB3,OMIM:226650,MENDELIAN
