gene_id,gene_symbol
64170,CARD9
51256,TBC1D7
28981,IFT81
8216,LZTR1
6505,SLC1A1
5949,RBP3
583,BBS2
4750,NEK1
51569,UFM1
392255,GDF6
79827,CLMP
134701,RIPPLY2
55240,STEAP3
3910,LAMA4
63924,CIDEC
6890,TAP1
7068,THRB
51099,ABHD5
2731,GLDC
149775,GNAS-AS1
2778,GNAS
8675,STX16
54714,CNGB3
2073,ERCC5
396,ARHGDIA
201163,FLCN
283489,CHAMP1
84665,MYPN
166378,AFG2A
4790,NFKB1
84197,POMK
81846,SBF2
54795,TRPM4
1369,CPN1
3190,HNRNPK
5832,ALDH18A1
657,BMPR1A
4089,SMAD4
1280,COL2A1
54567,DLL4
2261,FGFR3
7436,VLDLR
200942,KLHDC8B
4508,MT-ATP6
5621,PRNP
7490,WT1
5159,PDGFRB
81848,SPRY4
388588,SMIM1
2623,GATA1
1848,DUSP6
54756,IL17RD
51761,ATP8A2
51702,PADI3
4247,MGAT2
5373,PMM2
5337,PLD1
54345,SOX18
5317,PKP1
167691,LCA5
2072,ERCC4
55768,NGLY1
8822,FGF17
23767,FLRT3
3982,LIM2
4284,MIP
3845,KRAS
5604,MAP2K1
55687,TRMU
79719,AAGAB
1311,COMP
5605,MAP2K2
6305,SBF1
682,BSG
1615,DARS1
3800,KIF5C
11041,B4GAT1
11311,VPS45
113179,ADAT3
6901,TAFAZZIN
29958,DMGDH
57609,DIP2B
6654,SOS1
1491,CTH
23299,BICD2
1436,CSF1R
92749,DRC1
4854,NOTCH3
8200,GDF5
2694,CBLIF
285203,EOGT
859,CAV3
1756,DMD
54101,RIPK4
58495,OVOL2
7273,TTN
4893,NRAS
3265,HRAS
5290,PIK3CA
64132,XYLT2
658,BMPR1B
650,BMP2
10020,GNE
6448,SGSH
10564,ARFGEF2
5396,PRRX1
1798,DPAGT1
51259,TMEM216
56623,INPP5E
4023,LPL
959,CD40LG
1950,EGF
6442,SGCA
56945,MRPS22
10165,SLC25A13
1294,COL7A1
5660,PSAP
3662,IRF4
4437,MSH3
2956,MSH6
999,CDH1
27030,MLH3
154881,KCTD7
4068,SH2D1A
331,XIAP
2312,FLG
7480,WNT10B
1145,CHRNE
2334,AFF2
24140,FTSJ1
6928,HNF1B
3054,HCFC1
4625,MYH7
4647,MYO7A
10083,USH1C
79955,PDZD7
7399,USH2A
6331,SCN5A
7401,CLRN1
27316,RBMX
208,AKT2
434,ASIP
2065,ERBB3
7291,TWIST1
4210,MEFV
9294,S1PR2
3914,LAMB3
1308,COL17A1
1278,COL1A2
4609,MYC
8842,PROM1
9968,MED12
3588,IL10RB
3459,IFNGR1
3455,IFNAR2
80184,CEP290
1413,CRYBA4
57010,CABP4
162417,NAGS
128178,EDARADD
10913,EDAR
2993,GYPA
51360,MBTPS2
2324,FLT4
91662,NLRP12
23096,IQSEC2
2799,GNS
10084,PQBP1
5339,PLEC
2521,FUS
348,APOE
54187,NANS
1282,COL4A1
284058,KANSL1
2779,GNAT1
6010,RHO
6556,SLC11A1
60506,NYX
138050,HGSNAT
23171,GPD1L
11277,TREX1
1855,DVL1
7474,WNT5A
5903,RANBP2
2034,EPAS1
337,APOA4
54809,SAMD9
170302,ARX
27445,PCLO
1373,CPS1
59,ACTA2
4669,NAGLU
60678,EEFSEC
7818,DAP3
144577,KICS2
3852,KRT5
168667,BMPER
773,CACNA1A
2643,GCH1
26128,KIFBP
80308,FLAD1
5961,PRPH2
6094,ROM1
55811,ADCY10
126792,B3GALT6
5376,PMP22
4359,MPZ
478,ATP1A3
9401,RECQL4
727897,MUC5B
729238,SFTPA2
6440,SFTPC
7015,TERT
7012,TERC
89910,UBE3B
6311,ATXN2
1135,CHRNA2
169522,KCNV2
547,KIF1A
1286,COL4A4
5133,PDCD1
23020,SNRNP200
84690,SPATA22
771,CA12
11155,LDB3
25778,DSTYK
7780,SLC30A2
64324,NSD1
6521,SLC4A1
10842,PPP1R17
2053,EPHX2
336,APOA2
3949,LDLR
2690,GHR
129607,CMPK2
51398,WDR83OS
3778,KCNMA1
2492,FSHR
100507217,CHASERR
5984,RFC4
1678,TIMM8A
10518,CIB2
7374,UNG
50674,NEUROG3
6833,ABCC8
1591,CYP24A1
4598,MVK
1234,CCR5
79053,ALG8
57465,TBC1D24
727857,BHLHA9
6950,TCP1
90268,OTULIN
57217,TTC7A
84839,RAX2
1524,CX3CR1
7098,TLR3
729230,CCR2
30835,CD209
6356,CCL11
6349,CCL3L1
6352,CCL5
3107,HLA-C
3577,CXCR1
6347,CCL2
6348,CCL3
6387,CXCL12
3586,IL10
3458,IFNG
7203,CCT3
4215,MAP3K3
5644,PRSS1
1080,CFTR
11330,CTRC
5645,PRSS2
6690,SPINK1
23503,ZFYVE26
477,ATP1A2
285527,FRYL
112476,PRRT2
219736,STOX1
6905,TBCE
6949,TCOF1
546,ATRX
6611,SMS
1374,CPT1A
81887,LAS1L
91181,NUP210L
84230,LRRC8C
23479,ISCU
8692,HYAL2
28982,FLVCR1
54463,RETREG1
6335,SCN9A
65125,WNK1
9276,COPB2
1376,CPT2
22907,DHX30
7407,VARS1
196528,ARID2
9230,RAB11B
6400,SEL1L
80000,GREB1L
23269,MGA
29761,USP25
4054,LTBP3
10075,HUWE1
2987,GUK1
8733,GPAA1
4688,NCF2
199699,DAND5
5279,PIGC
50943,FOXP3
26353,HSPB8
148345,CIROZ
84162,BLTP1
1806,DPYD
2902,GRIN1
2263,FGFR2
5447,POR
10587,TXNRD2
3861,KRT14
2561,GABRB2
54822,TRPM7
9837,GINS1
7187,TRAF3
9531,BAG3
80336,PABPC1L
25953,PNKD
128338,DRAM2
10560,SLC19A2
388753,COA6
116150,NUS1
493753,COA5
4915,NTRK2
79947,DHDDS
91137,SLC25A46
57211,ADGRG6
4047,LSS
311,ANXA11
6678,SPARC
1490,CCN2
10804,GJB6
3784,KCNQ1
2632,GBE1
4891,SLC11A2
26060,APPL1
22926,ATF6
4000,LMNA
9750,RIPOR2
653361,NCF1
27019,DNAI1
3892,KRT86
2703,GJA8
26580,BSCL2
1213,CLTC
131669,UROC1
23040,MYT1L
203228,C9ORF72
11235,PDCD10
83605,CCM2
81,ACTN4
8022,LHX3
122553,TRAPPC6B
5297,PI4KA
112752,IFT43
3026,HABP2
57688,ZSWIM6
2304,FOXE1
2893,GRIA4
81562,LMAN2L
3661,IRF3
57570,TRMT5
50615,IL21R
1605,DAG1
55612,FERMT1
84433,CARD11
50945,TBX22
54802,TRIT1
51081,MRPS7
7518,XRCC4
84823,LMNB2
9786,KIAA0586
5295,PIK3R1
178,AGL
4041,LRP5
84700,MYO18B
8777,MPDZ
10383,TUBB4B
23533,PIK3R5
1285,COL4A3
65057,ACD
7471,WNT1
672,BRCA1
83452,RAB33B
7305,TYROBP
54209,TREM2
4747,NEFL
22861,NLRP1
7700,ZNF141
109,ADCY3
1453,CSNK1D
6655,SOS2
498,ATP5F1A
7072,TIA1
23646,PLD3
4638,MYLK
9853,RUSC2
9860,LRIG2
114548,NLRP3
343450,KCNT2
84818,IL17RC
220,ALDH1A3
1355,COX15
81857,MED25
4693,NDP
267010,RNU12
9742,IFT140
65267,WNK3
4522,MTHFD1
939,CD27
55159,RFWD3
25959,KANK2
375790,AGRN
8792,TNFRSF11A
200205,IBA57
51111,KMT5B
790,CAD
55689,YEATS2
80155,NAA15
526,ATP6V1B2
28960,DCPS
1991,ELANE
146057,TTBK2
51083,GAL
80153,EDC3
55870,ASH1L
25885,POLR1A
79797,ZNF408
816,CAMK2B
815,CAMK2A
152926,PPM1K
5426,POLE
1441,CSF3R
4059,BCAM
1303,COL12A1
55714,TENM3
246243,RNASEH1
1482,NKX2-5
5950,RBP4
8241,RBM10
9051,PSTPIP1
51594,NBAS
83861,RSPH3
85301,COL27A1
84879,MFSD2A
1763,DNA2
27089,UQCRQ
1001,CDH3
3481,IGF2
54902,TTC19
6023,RMRP
59335,PRDM12
7381,UQCRB
6323,SCN1A
79188,TMEM43
9533,POLR1C
7385,UQCRC2
3630,INS
6934,TCF7L2
5078,PAX4
3667,IRS1
6927,HNF1A
3569,IL6
3767,KCNJ11
5770,PTPN1
5506,PPP1R3A
169026,SLC30A8
4760,NEUROD1
6514,SLC2A2
8660,IRS2
2820,GPD2
5167,ENPP1
5468,PPARG
2645,GCK
3159,HMGA1
9479,MAPK8IP1
56729,RETN
3990,LIPC
7466,WFS1
3172,HNF4A
4544,MTNR1B
3651,PDX1
10644,IGF2BP2
675,BRCA2
10280,SIGMAR1
3386,ICAM4
79651,RHBDF2
83938,LRMDA
23189,KANK1
7476,WNT7A
1832,DSP
5080,PAX6
351,APP
148789,B3GALNT2
27247,NFU1
1410,CRYAB
59345,GNB4
6576,SLC25A1
1419,CRYGB
2271,FH
2879,GPX4
3912,LAMB1
2235,FECH
51750,RTEL1
199713,NLRP7
87,ACTN1
79705,LRRK1
359,AQP2
4179,CD46
