node1,node2
G_51106,D_ORPHA:276238
G_779,D_OMIM:261990
G_10112,D_ORPHA:140917
G_57731,D_OMIM:614653
G_144245,D_ORPHA:98954
G_4632,D_OMIM:615119
G_1674,D_OMIM:607850
G_27229,D_OMIM:617576
G_55187,D_ORPHA:373
G_84529,D_OMIM:234500
G_8802,D_OMIM:617827
G_3798,D_ORPHA:397618
G_410,D_OMIM:617710
G_1503,D_OMIM:300087
G_9900,D_ORPHA:280785
G_9313,D_OMIM:617238
G_5528,D_OMIM:300323
G_6760,D_OMIM:111300
G_401541,D_OMIM:610212
G_123264,D_OMIM:226750
G_2189,D_ORPHA:631068
G_1729,D_OMIM:621065
G_6640,D_OMIM:246650
G_146227,D_OMIM:614852
G_79631,D_OMIM:617164
G_6323,D_OMIM:108300
G_5873,D_ORPHA:289380
G_781,D_ORPHA:95232
G_129804,D_OMIM:612020
G_375,D_OMIM:612518
G_128674,D_OMIM:617393
G_3593,D_ORPHA:314918
G_966,D_ORPHA:309015
G_84520,D_OMIM:620038
G_2517,D_OMIM:615558
G_3679,D_OMIM:607822
G_22808,D_OMIM:619406
G_26040,D_OMIM:136000
G_199699,D_ORPHA:99938
G_51305,D_ORPHA:99853
G_372,D_OMIM:108500
G_10452,D_OMIM:615631
G_6844,D_OMIM:258100
G_57572,D_ORPHA:552
G_6834,D_OMIM:619218
G_2652,D_OMIM:251255
G_5984,D_ORPHA:75391
G_4038,D_OMIM:600880
G_5339,D_ORPHA:88635
G_6524,D_OMIM:113970
G_3908,D_ORPHA:2342
G_2859,D_OMIM:609115
G_55906,D_ORPHA:79282
G_79023,D_OMIM:266500
G_527,D_OMIM:608104
G_9725,D_ORPHA:115
G_5156,D_OMIM:613280
G_197131,D_OMIM:604498
G_4647,D_OMIM:619046
G_4733,D_OMIM:617158
G_2651,D_ORPHA:1276
G_3728,D_OMIM:300923
G_2187,D_OMIM:620880
G_387082,D_OMIM:601399
G_126328,D_ORPHA:276432
G_6773,D_OMIM:615541
G_346288,D_OMIM:108010
G_389207,D_OMIM:277580
G_811,D_ORPHA:2209
G_3988,D_ORPHA:99842
