node1,node2
G_2694,D_ORPHA:332
G_64072,D_ORPHA:90636
G_6716,D_ORPHA:1331
G_859,D_ORPHA:101016
G_7248,D_ORPHA:805
G_84627,D_ORPHA:90354
G_9837,D_ORPHA:505227
G_5777,D_ORPHA:3243
G_5333,D_OMIM:151600
G_51567,D_OMIM:616949
G_220202,D_ORPHA:289499
G_286204,D_OMIM:616220
G_1950,D_ORPHA:210159
G_348980,D_OMIM:618482
G_11322,D_OMIM:226400
G_2521,D_ORPHA:300605
G_6326,D_ORPHA:293181
G_79583,D_ORPHA:2754
G_3913,D_ORPHA:2670
G_3579,D_OMIM:619407
G_653361,D_ORPHA:379
G_122481,D_OMIM:617965
G_5818,D_OMIM:225060
G_2670,D_OMIM:203450
G_808,D_ORPHA:101016
G_154197,D_OMIM:619528
G_221895,D_ORPHA:536
G_51684,D_ORPHA:251858
G_79868,D_OMIM:300884
G_9896,D_ORPHA:139515
G_570,D_ORPHA:238475
G_1108,D_ORPHA:653712
G_23322,D_ORPHA:220497
G_2645,D_ORPHA:79299
G_25,D_ORPHA:643503
G_123872,D_ORPHA:244
G_5660,D_OMIM:611722
G_9742,D_ORPHA:730
G_3736,D_ORPHA:972
G_1203,D_ORPHA:699807
G_3728,D_ORPHA:293888
G_3340,D_OMIM:616116
G_7019,D_OMIM:617156
G_55384,D_ORPHA:96334
G_3621,D_OMIM:275355
G_27315,D_OMIM:614207
G_406987,D_ORPHA:488197
G_4914,D_OMIM:256800
G_5322,D_OMIM:228980
G_538,D_ORPHA:565
G_6434,D_OMIM:621421
G_6578,D_OMIM:614441
G_6608,D_OMIM:601707
G_23590,D_OMIM:614651
G_56171,D_ORPHA:244
G_7167,D_ORPHA:868
G_55750,D_OMIM:212350
G_492,D_OMIM:302500
G_5376,D_OMIM:118220
G_2332,D_ORPHA:642691
G_6338,D_ORPHA:171876
G_23385,D_ORPHA:289478
G_2815,D_OMIM:231200
G_27249,D_OMIM:620953
G_54928,D_OMIM:614078
G_25914,D_ORPHA:468631
G_79574,D_ORPHA:444
G_158326,D_OMIM:608980
G_7038,D_OMIM:608175
G_10002,D_OMIM:268100
G_51062,D_OMIM:613708
G_71,D_ORPHA:90635
G_30011,D_ORPHA:696945
G_3910,D_ORPHA:154
G_6390,D_ORPHA:29072
G_23314,D_ORPHA:576283
G_658,D_ORPHA:2098
G_6100,D_ORPHA:791
