node1,node2,label
G_22827,D_ORPHA:404499,0
G_473,D_OMIM:616975,1
G_120892,D_ORPHA:2828,1
G_3630,D_OMIM:618858,1
G_57654,D_OMIM:621214,0
G_10568,D_OMIM:613686,0
G_90416,D_ORPHA:48818,0
G_2189,D_ORPHA:84,1
G_50511,D_OMIM:270960,1
G_6857,D_OMIM:614700,0
G_9662,D_ORPHA:2512,1
G_84520,D_OMIM:602722,0
G_4891,D_OMIM:206100,1
G_154197,D_OMIM:613027,0
G_2161,D_ORPHA:617919,1
G_2158,D_OMIM:306900,1
G_50814,D_OMIM:308050,1
G_3454,D_ORPHA:1587,0
G_26263,D_OMIM:603373,0
G_89876,D_ORPHA:117,0
G_51750,D_ORPHA:402364,0
G_51259,D_ORPHA:2754,1
G_146057,D_OMIM:604432,1
G_3043,D_OMIM:619697,0
G_54414,D_OMIM:613551,1
G_166785,D_OMIM:253600,0
G_1814,D_OMIM:615887,0
G_54822,D_ORPHA:90020,1
G_83696,D_ORPHA:1802,0
G_90459,D_OMIM:614920,0
G_8438,D_OMIM:602849,0
G_55084,D_OMIM:613671,1
G_1769,D_OMIM:618164,0
G_117531,D_ORPHA:90635,1
G_6160,D_ORPHA:124,1
G_340533,D_ORPHA:1942,1
G_55650,D_OMIM:619058,0
G_4338,D_OMIM:618484,0
G_64087,D_OMIM:149400,0
G_23093,D_ORPHA:496641,0
G_6731,D_OMIM:617164,0
G_3021,D_ORPHA:445062,0
G_2483,D_OMIM:615512,0
G_10804,D_OMIM:129500,1
G_4540,D_ORPHA:822,0
G_4953,D_OMIM:619075,1
G_3492,D_ORPHA:545,1
G_4615,D_OMIM:612260,1
G_221037,D_OMIM:619859,0
G_6469,D_ORPHA:93336,1
G_4915,D_ORPHA:251615,1
G_4287,D_ORPHA:85167,0
G_133396,D_OMIM:617026,0
G_54538,D_OMIM:617214,0
G_4000,D_ORPHA:54260,1
G_124997,D_ORPHA:269510,1
G_2627,D_OMIM:600001,1
G_11236,D_OMIM:618725,0
G_6324,D_ORPHA:33069,1
G_5230,D_OMIM:300653,1
G_64841,D_ORPHA:280133,0
G_169522,D_OMIM:610356,1
G_80000,D_OMIM:615605,0
G_50964,D_ORPHA:3416,1
G_132320,D_OMIM:271700,0
G_4920,D_ORPHA:88642,0
