node1,node2,label,score_PA,score_CN,score_JC,score_AA,score_RA,score_COMB
G_92002,D_OMIM:185800,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_4204,D_ORPHA:777,1,184.0,0.0,0.0,0.0,0.0,0.012494341330917553
G_8788,D_ORPHA:169154,0,5.0,0.0,0.0,0.0,0.0,0.00033952014486189
G_1029,D_OMIM:621060,0,8.0,0.0,0.0,0.0,0.0,0.0005432322317790241
G_93035,D_OMIM:618097,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_26284,D_OMIM:617565,1,0.0,0.0,0.0,0.0,0.0,0.0
G_4921,D_OMIM:618175,1,0.0,0.0,0.0,0.0,0.0,0.0
G_3239,D_OMIM:113200,1,0.0,0.0,0.0,0.0,0.0,0.0
G_10641,D_ORPHA:98820,1,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_4153,D_OMIM:614372,1,0.0,0.0,0.0,0.0,0.0,0.0
G_2525,D_OMIM:618983,1,0.0,0.0,0.0,0.0,0.0,0.0
G_10677,D_OMIM:613451,0,0.0,0.0,0.0,0.0,0.0,0.0
G_30817,D_OMIM:257300,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_975,D_ORPHA:166078,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_55210,D_OMIM:617183,1,0.0,0.0,0.0,0.0,0.0,0.0
G_93035,D_OMIM:601550,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_219854,D_OMIM:619562,1,0.0,0.0,0.0,0.0,0.0,0.0
G_8604,D_OMIM:214150,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_8214,D_OMIM:192430,1,0.0,0.0,0.0,0.0,0.0,0.0
G_101101692,D_ORPHA:244242,1,0.0,0.0,0.0,0.0,0.0,0.0
G_5194,D_ORPHA:44,1,30.0,10.0,0.8333333333333334,6.987468554477711,2.3690476190476186,0.04459031235808036
G_3858,D_ORPHA:888,0,16.0,0.0,0.0,0.0,0.0,0.0010864644635580482
G_79029,D_OMIM:619616,1,0.0,0.0,0.0,0.0,0.0,0.0
G_85320,D_ORPHA:293633,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_10011,D_OMIM:615926,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_5777,D_ORPHA:538863,1,0.0,0.0,0.0,0.0,0.0,0.0
G_4973,D_OMIM:607842,0,0.0,0.0,0.0,0.0,0.0,0.0
G_10533,D_OMIM:618222,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_8287,D_ORPHA:52503,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_1959,D_ORPHA:101084,1,0.0,0.0,0.0,0.0,0.0,0.0
G_64699,D_ORPHA:90636,1,60.0,0.0,0.0,0.0,0.0,0.0040742417383426805
G_85446,D_ORPHA:658813,0,0.0,0.0,0.0,0.0,0.0,0.0
G_6197,D_ORPHA:777,1,69.0,0.0,0.0,0.0,0.0,0.004685377999094083
G_767,D_OMIM:615436,0,0.0,0.0,0.0,0.0,0.0,0.0
G_6678,D_OMIM:612164,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_5897,D_ORPHA:39041,1,16.0,1.0,0.1111111111111111,0.48089834696298783,0.125,0.005341783612448949
G_2213,D_OMIM:152700,1,6.0,3.0,0.07692307692307693,2.3785890798049216,0.8333333333333333,0.01317338162050697
G_10466,D_ORPHA:263487,1,0.0,0.0,0.0,0.0,0.0,0.0
G_818,D_ORPHA:674762,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_29954,D_OMIM:613150,1,0.0,0.0,0.0,0.0,0.0,0.0
G_6650,D_OMIM:619318,1,0.0,0.0,0.0,0.0,0.0,0.0
G_859,D_OMIM:192600,1,16.0,0.0,0.0,0.0,0.0,0.0010864644635580482
G_79759,D_OMIM:277580,0,0.0,0.0,0.0,0.0,0.0,0.0
G_3621,D_ORPHA:502363,1,8.0,2.0,1.0,0.9370338082411984,0.23809523809523808,0.009053870529560826
